,State Name,County,Year,Population,FIPS,State Abbr,_merge
429,Alabama,Cullman County,2009.0,80351,1043,AL,both
430,Alabama,Cullman County,2010.0,80456,1043,AL,both
431,Alabama,Cullman County,2011.0,80410,1043,AL,both
432,Alabama,Cullman County,2012.0,80279,1043,AL,both
433,Alabama,Cullman County,2013.0,80690,1043,AL,both
434,Alabama,Cullman County,2014.0,81068,1043,AL,both
435,Alabama,Cullman County,2015.0,81761,1043,AL,both
436,Alabama,Cullman County,2016.0,82450,1043,AL,both
437,Alabama,Cullman County,2017.0,82867,1043,AL,both
438,Alabama,Cullman County,2018.0,83418,1043,AL,both
439,Alabama,Cullman County,2019.0,83768,1043,AL,both
440,Alabama,Dale County,2000.0,49124,1045,AL,both
441,Alabama,Dale County,2001.0,49254,1045,AL,both
442,Alabama,Dale County,2002.0,49373,1045,AL,both
443,Alabama,Dale County,2003.0,49215,1045,AL,both
444,Alabama,Dale County,2004.0,49245,1045,AL,both
445,Alabama,Dale County,2005.0,49050,1045,AL,both
446,Alabama,Dale County,2006.0,49077,1045,AL,both
447,Alabama,Dale County,2007.0,49488,1045,AL,both
448,Alabama,Dale County,2008.0,49871,1045,AL,both
449,Alabama,Dale County,2009.0,49854,1045,AL,both
450,Alabama,Dale County,2010.0,50394,1045,AL,both
451,Alabama,Dale County,2011.0,50122,1045,AL,both
452,Alabama,Dale County,2012.0,50289,1045,AL,both
453,Alabama,Dale County,2013.0,49771,1045,AL,both
454,Alabama,Dale County,2014.0,49414,1045,AL,both
455,Alabama,Dale County,2015.0,49365,1045,AL,both
456,Alabama,Dale County,2016.0,49362,1045,AL,both
457,Alabama,Dale County,2017.0,49342,1045,AL,both
458,Alabama,Dale County,2018.0,49143,1045,AL,both
459,Alabama,Dale County,2019.0,49172,1045,AL,both
460,Alabama,Dallas County,2000.0,46198,1047,AL,both
461,Alabama,Dallas County,2001.0,46132,1047,AL,both
462,Alabama,Dallas County,2002.0,45377,1047,AL,both
463,Alabama,Dallas County,2003.0,45170,1047,AL,both
464,Alabama,Dallas County,2004.0,44795,1047,AL,both
465,Alabama,Dallas County,2005.0,44434,1047,AL,both
466,Alabama,Dallas County,2006.0,44323,1047,AL,both
467,Alabama,Dallas County,2007.0,44194,1047,AL,both
468,Alabama,Dallas County,2008.0,44265,1047,AL,both
469,Alabama,Dallas County,2009.0,43759,1047,AL,both
470,Alabama,Dallas County,2010.0,43854,1047,AL,both
471,Alabama,Dallas County,2011.0,43251,1047,AL,both
472,Alabama,Dallas County,2012.0,42789,1047,AL,both
473,Alabama,Dallas County,2013.0,41976,1047,AL,both
